# MUI 3.8 symbol inventory -- the oracle for scripts/check-mui38.py.
# Source: mui38dev.lha (MUI 3.8 developer archive, (c) 1993-1997 Stefan Stuntz),
#         sha256 8d28b0262fa6f43a9a8e114da368a9309256bbc2f99fa1c23d8e4c105d565722
# Regenerate: python3 scripts/check-mui38.py --gen-inventory <mui38-SDK-root> > scripts/mui38-symbols.tsv
# Columns: name<TAB>version-introduced<TAB>access-flags  ('-' = not annotated)
# MUI 3.8 is muimaster.library 19; its headers annotate nothing above V18.
ASM	-	-
AboutmuiObject	-	-
ApplicationObject	-	-
BASE_EXT_DECL	-	-
BASE_NAME	-	-
BASE_PAR_DECL	-	-
BASE_PAR_DECL0	-	-
BalanceObject	-	-
BitmapObject	-	-
BodychunkObject	-	-
BoopsiObject	-	-
ButtonFrame	-	-
CATCOMP_ARRAY	-	-
CATCOMP_NUMBERS	-	-
CLIB_MUIMASTER_PROTOS_H	-	-
CLabel	-	-
CLabel1	-	-
CLabel2	-	-
CheckMark	-	-
Child	-	-
ColGroup	-	-
ColGroupV	-	-
ColoradjustObject	-	-
ColorfieldObject	-	-
Cycle	-	-
CycleObject	-	-
DEFAULT_PEN1	-	-
DEFAULT_PEN2	-	-
DEFAULT_PENB	-	-
DEFAULT_SPEED	-	-
DirlistObject	-	-
End	-	-
FloattextObject	-	-
ForEntries	-	-
FreeCLabel	-	-
FreeCLabel1	-	-
FreeCLabel2	-	-
FreeKeyCLabel	-	-
FreeKeyCLabel1	-	-
FreeKeyCLabel2	-	-
FreeKeyLLabel	-	-
FreeKeyLLabel1	-	-
FreeKeyLLabel2	-	-
FreeKeyLabel	-	-
FreeKeyLabel1	-	-
FreeKeyLabel2	-	-
FreeLLabel	-	-
FreeLLabel1	-	-
FreeLLabel2	-	-
FreeLabel	-	-
FreeLabel1	-	-
FreeLabel2	-	-
GaugeFrame	-	-
GaugeObject	-	-
GroupFrame	-	-
GroupFrameT	-	-
GroupObject	-	-
GroupSpacing	-	-
HCenter	-	-
HGroup	-	-
HGroupV	-	-
HSpace	-	-
HVSpace	-	-
ImageButtonFrame	-	-
ImageObject	-	-
InnerSpacing	-	-
InputListFrame	-	-
KeyButton	-	-
KeyCLabel	-	-
KeyCLabel1	-	-
KeyCLabel2	-	-
KeyCheckMark	-	-
KeyCycle	-	-
KeyLLabel	-	-
KeyLLabel1	-	-
KeyLLabel2	-	-
KeyLabel	-	-
KeyLabel1	-	-
KeyLabel2	-	-
KeyRadio	-	-
KeySlider	-	-
KeyString	-	-
KeyentryObject	-	-
KnobObject	-	-
LIBRARIES_MUI_H	-	-
LLabel	-	-
LLabel1	-	-
LLabel2	-	-
Label	-	-
Label1	-	-
Label2	-	-
LevelmeterObject	-	-
ListObject	-	-
ListviewObject	-	-
MADF_DRAWOBJECT	-	-
MADF_DRAWUPDATE	-	-
MAKE_ID	-	-
MBQF_HORIZ	-	-
MBQ_MUI_MAXMAX	-	-
MCC_Query	-	-
MC_TEMPLATE_ID	-	-
MPEN_BACKGROUND	-	-
MPEN_COUNT	-	-
MPEN_FILL	-	-
MPEN_HALFSHADOW	-	-
MPEN_HALFSHINE	-	-
MPEN_MARK	-	-
MPEN_SHADOW	-	-
MPEN_SHINE	-	-
MPEN_TEXT	-	-
MUIA_Aboutmui_Application	11	i..
MUIA_AppMessage	5	..g
MUIA_ApplicationObject	4	..g
MUIA_Application_Active	4	isg
MUIA_Application_Author	4	i.g
MUIA_Application_Base	4	i.g
MUIA_Application_Broker	4	..g
MUIA_Application_BrokerHook	4	isg
MUIA_Application_BrokerPort	6	..g
MUIA_Application_BrokerPri	6	i.g
MUIA_Application_Commands	4	isg
MUIA_Application_Copyright	4	i.g
MUIA_Application_Description	4	i.g
MUIA_Application_DiskObject	4	isg
MUIA_Application_DoubleStart	4	..g
MUIA_Application_DropObject	5	is.
MUIA_Application_ForceQuit	8	..g
MUIA_Application_HelpFile	8	isg
MUIA_Application_Iconified	4	.sg
MUIA_Application_Menu	4	i.g
